"Order Surcharge","Order Surcharge"
"Order Management","Order Management"
"Create New Surcharge Link","Create New Surcharge Link"
"Actions","Actions"
"Action","Action"
"MageWorx &gt; Order Management","MageWorx &gt; Order Management"
"MageWorx > Order Management","MageWorx > Order Management"
"Create Surcharge Link","Create Surcharge Link"
"Order id required","Order id required"
"Order with id %d does not exist","Order with id %d does not exist"
"Linked order was successfully created with id %d","Linked order was successfully created with id %d"
"Surcharges","Surcharges"
"You have no surcharges.","You have no surcharges."
"View Details","View Details"
"Surcharge #","Surcharge #"
"Created At","Created At"
"Updated At","Updated At"
"Original Order #","Original Order #"
"Surcharge Total","Surcharge Total"
"Surcharge Total Due","Surcharge Total Due"
"Pay","Pay"
"Surcharge with id %d does not exist","Surcharge with id %d does not exist"
"Can not process surcharge with empty id","Can not process surcharge with empty id"
"Empty surcharge object","Empty surcharge object"
"Empty parent order","Empty parent order"
"Can not create quote for empty surcharge id","Can not create quote for empty surcharge id"
"Create New Surcharge","Create New Surcharge"
"View","View"
"Delete","Delete"
"Cancel","Cancel"
"Created From (Store)","Created From (Store)"
"Total (Base)","Total (Base)"
"Total Due (Base)","Total Due (Base)"
"Total Due","Total Due"
"Customer Email","Customer Email"
"Customer ID","Customer ID"
"Surcharge Order #","Surcharge Order #"
"Order #","Order #"
"View order #%d details","View order #%d details"
"View order","View order"
"Surcharge quote was successfully created for order #%s","Surcharge quote was successfully created for order #%s"
"Surcharge #%d was successfully deleted for order #%s","Surcharge #%d was successfully deleted for order #%s"
"Surcharge with id %s was successfully created for order #%s","Surcharge with id %s was successfully created for order #%s"
"Surcharge with id %s was successfully updated for order #%s","Surcharge with id %s was successfully updated for order #%s"
"The email with the payment link was sent to the customer","The email with the payment link was sent to the customer"
"Please, check your login information","Please, check your login information"
"Order #%s need to be canceled","Order #%s need to be canceled"
"Can not delete this surcharge","Can not delete this surcharge"
"Cannot get the surcharge instance.","Cannot get the surcharge instance."
"Surcharge View","Surcharge View"
"This surcharge no longer exists.","This surcharge no longer exists."
"Surcharge Information","Surcharge Information"
"Information","Information"
"Surcharge Status","Surcharge Status"
"Status","Status"
"Deleted","Deleted"
"Pending","Pending"
"Processing","Processing"
"Paid","Paid"
"Complete","Complete"
"Permission denied","Permission denied"
"Restore Surcharge(s)","Restore Surcharge(s)"
"Delete Surcharge(s)","Delete Surcharge(s)"
"Change Status","Change Status"
"Empty Surcharge(s)","Empty Surcharge(s)"
"Surcharges %s was successfully restored","Surcharges %s was successfully restored"
"Surcharges %s was successfully deleted","Surcharges %s was successfully deleted"
"Status was successfully changed for the surcharges: %s","Status was successfully changed for the surcharges: %s"
"Unknown status: %s","Unknown status: %s"
"Linked Order Total","Linked Order Total"
"Remove Surcharge","Remove Surcharge"
"Create Surcharge","Create Surcharge"
"Total Due: %s","Total Due: %s"
"Unable to load order #%s","Unable to load order #%s"
"Surcharge #%d","Surcharge #%d"
"Total: ","Total: "
"Total","Total"
"Status: %s","Status: %s"
"You can not edit a surcharge order","You can not edit a surcharge order"
"You can not edit the order unless the payment link with ID #%s (sent to the customer) is paid or canceled","You can not edit the order unless the payment link with ID #%s (sent to the customer) is paid or canceled"
"Apply & Send Payment Link","Apply & Send Payment Link"
"Need to be paid","Need to be paid"
"Are you sure you want to apply the changes to the order and send the payment link to the customer?","Are you sure you want to apply the changes to the order and send the payment link to the customer?"
"The email with the payment link was sent to the customer. Surcharge ID #%s","The email with the payment link was sent to the customer. Surcharge ID #%s"
"This order is the surcharge for the order #%s. See the order for more details.","This order is the surcharge for the order #%s. See the order for more details."
"You have no surcharges for this order.","You have no surcharges for this order."
"Surcharged in order","Surcharged in order"
"View parent order...","View parent order..."
"View order #%s","View order #%s"
"The surcharge order doesn't exist yet","The surcharge order doesn't exist yet"
"It is impossible to make surcharge payment with the other products simultaneously","It is impossible to make surcharge payment with the other products simultaneously"
